-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request         1.24%       2.702ms         1.24%       2.702ms       2.702ms       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaEventSynchronize         0.04%      85.241us         0.04%      86.233us      10.779us       0.000us         0.00%       0.000us       0.000us             8  
                                            aten::empty         1.95%       4.254ms         2.13%       4.649ms       7.033us       0.000us         0.00%       0.000us       0.000us           661  
                                         cudaEventQuery         0.03%      59.361us         0.03%      59.361us       5.396us       0.000us         0.00%       0.000us       0.000us            11  
                                               aten::to         0.36%     782.196us         6.73%      14.692ms      20.958us       0.000us         0.00%       1.931ms       2.754us           701  
                                       aten::lift_fresh         0.00%       5.942us         0.00%       5.942us       0.371us       0.000us         0.00%       0.000us       0.000us            16  
                                          aten::detach_         0.00%       3.568us         0.00%       3.568us       0.357us       0.000us         0.00%       0.000us       0.000us            10  
                                         aten::_to_copy         0.96%       2.103ms         6.37%      13.910ms      29.849us       0.000us         0.00%       1.931ms       4.143us           466  
                                    aten::empty_strided         2.65%       5.788ms         3.08%       6.715ms       8.100us       0.000us         0.00%       0.000us       0.000us           829  
                                        cudaMemcpyAsync         0.98%       2.129ms         0.98%       2.129ms      14.288us       0.000us         0.00%       0.000us       0.000us           149  
                               cudaEventRecordWithFlags         0.02%      46.729us         0.02%      46.729us       3.338us       0.000us         0.00%       0.000us       0.000us            14  
                                            aten::slice         0.74%       1.606ms         1.02%       2.235ms       3.471us       0.000us         0.00%       0.000us       0.000us           644  
                                       aten::as_strided         0.88%       1.928ms         0.88%       1.928ms       1.125us       0.000us         0.00%       0.000us       0.000us          1714  
                                          aten::flatten         0.01%      11.192us         0.76%       1.650ms     550.058us       0.000us         0.00%       0.000us       0.000us             3  
                                             aten::view         1.27%       2.770ms         1.27%       2.770ms       2.694us       0.000us         0.00%       0.000us       0.000us          1028  
                                           aten::detach         0.01%      14.528us         0.01%      14.528us       2.421us       0.000us         0.00%       0.000us       0.000us             6  
                                     aten::resolve_conj         0.00%       3.326us         0.00%       3.326us       0.554us       0.000us         0.00%       0.000us       0.000us             6  
                                      aten::resolve_neg         0.00%       1.191us         0.00%       1.191us       0.198us       0.000us         0.00%       0.000us       0.000us             6  
                                       cudaLaunchKernel         9.66%      21.071ms         9.66%      21.071ms       9.344us       0.000us         0.00%       0.000us       0.000us          2255  
                                          aten::reshape         0.03%      57.358us         0.08%     166.377us       3.395us       0.000us         0.00%       0.000us       0.000us            49  
                                       cuLaunchKernelEx         0.02%      39.895us         0.02%      39.895us      13.298us       0.000us         0.00%       0.000us       0.000us             3  
                                               aten::lt         0.01%      25.467us         0.01%      25.467us       8.489us       0.000us         0.00%       0.000us       0.000us             3  
                                        cudaEventRecord         0.01%      25.168us         0.01%      25.168us       3.146us       0.000us         0.00%       0.000us       0.000us             8  
                                        aten::embedding         0.01%      11.934us         0.09%     200.172us      66.724us       0.000us         0.00%      18.528us       6.176us             3  
                                          aten::resize_         0.06%     129.955us         0.06%     129.955us       3.332us       0.000us         0.00%       0.000us       0.000us            39  
                                       aten::empty_like         0.51%       1.106ms         2.19%       4.775ms      13.154us       0.000us         0.00%       0.000us       0.000us           363  
                                           aten::linear         0.77%       1.681ms        10.29%      22.461ms      51.634us       0.000us         0.00%      37.633ms      86.513us           435  
                                                aten::t         0.53%       1.150ms         1.25%       2.728ms       6.272us       0.000us         0.00%       0.000us       0.000us           435  
                                        aten::transpose         0.44%     967.524us         0.72%       1.579ms       3.629us       0.000us         0.00%       0.000us       0.000us           435  
                                           aten::matmul         0.50%       1.101ms         8.27%      18.051ms      41.497us       0.000us         0.00%      37.633ms      86.513us           435  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.22%     474.848us         0.22%     474.848us       1.855us       0.000us         0.00%       0.000us       0.000us           256  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 218.195ms
Self CUDA time total: 67.493ms

