-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::flatten         0.00%     240.216us         0.04%       2.271ms      17.608us       0.000us         0.00%       0.000us       0.000us           129  
                                             aten::view         0.79%      46.429ms         0.79%      46.429ms       0.985us       0.000us         0.00%       0.000us       0.000us         47144  
                                           aten::detach         0.01%     358.985us         0.01%     358.985us       1.391us       0.000us         0.00%       0.000us       0.000us           258  
                                     aten::resolve_conj         0.00%      85.295us         0.00%      85.295us       0.331us       0.000us         0.00%       0.000us       0.000us           258  
                                      aten::resolve_neg         0.00%      30.889us         0.00%      30.889us       0.120us       0.000us         0.00%       0.000us       0.000us           258  
                                       cudaLaunchKernel        15.79%     929.373ms        16.07%     945.688ms       7.439us       0.000us         0.00%     610.366us       0.005us        127121  
                                          aten::reshape         0.12%       6.968ms         0.33%      19.380ms       3.808us       0.000us         0.00%       0.000us       0.000us          5089  
                                               aten::lt         0.01%     782.466us         0.01%     782.466us       6.066us       0.000us         0.00%       0.000us       0.000us           129  
                                        aten::embedding         0.01%     323.257us         0.07%       4.340ms      33.647us       0.000us         0.00%     828.257us       6.421us           129  
                                          aten::resize_         0.23%      13.685ms         0.23%      13.685ms       2.911us       0.000us         0.00%       0.000us       0.000us          4701  
                                       aten::empty_like         0.34%      20.017ms         1.38%      81.131ms       8.486us       0.000us         0.00%       0.000us       0.000us          9561  
                                           aten::linear         0.87%      50.957ms        12.52%     736.437ms      39.371us       0.000us         0.00%        1.522s      81.387us         18705  
                                                aten::t         0.69%      40.501ms         1.63%      95.658ms       5.114us       0.000us         0.00%       0.000us       0.000us         18705  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.884s
Self CUDA time total: 4.541s

