-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::resize_         0.01%     622.230us         0.01%     622.230us       4.823us       0.000us         0.00%       0.000us       0.000us           129  
                                       aten::empty_like         0.91%      42.448ms         3.80%     177.866ms       7.665us       0.000us         0.00%       0.000us       0.000us         23205  
                                           aten::linear         1.13%      52.793ms        16.54%     774.890ms      41.427us       0.000us         0.00%        1.520s      81.264us         18705  
                                                aten::t         0.91%      42.539ms         2.06%      96.737ms       5.172us       0.000us         0.00%       0.000us       0.000us         18705  
                                        aten::transpose         1.07%      49.973ms         1.63%      76.371ms       2.742us       0.000us         0.00%       0.000us       0.000us         27849  
                                           aten::matmul         0.84%      39.249ms        13.35%     625.360ms      33.433us       0.000us         0.00%        1.520s      81.264us         18705  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.41%      19.126ms         0.41%      19.126ms       1.380us       0.000us         0.00%       0.000us       0.000us         13864  
                                 aten::split_with_sizes         0.46%      21.534ms         0.61%      28.789ms       6.199us       0.000us         0.00%       0.000us       0.000us          4644  
                          vllm::unified_kv_cache_update         2.94%     137.794ms         5.94%     278.263ms      59.919us       0.000us         0.00%      15.562ms       3.351us          4644  
                                           aten::unbind         0.75%      35.031ms         1.80%      84.173ms       9.063us       0.000us         0.00%       0.000us       0.000us          9288  
                                           aten::select         0.79%      37.121ms         1.06%      49.478ms       2.645us       0.000us         0.00%       0.000us       0.000us         18704  
                    vllm::unified_attention_with_output         6.92%     324.058ms        22.19%        1.040s     223.866us       0.000us         0.00%     597.647ms     128.692us          4644  
                                           aten::expand         0.63%      29.693ms         0.80%      37.400ms       2.684us       0.000us         0.00%       0.000us       0.000us         13933  
                                 cudaDeviceGetAttribute         0.11%       5.357ms         0.11%       5.357ms       0.384us       0.000us         0.00%       0.000us       0.000us         13932  
                                   cudaFuncSetAttribute         0.14%       6.356ms         0.14%       6.356ms       1.369us       0.000us         0.00%       0.000us       0.000us          4644  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.685s
Self CUDA time total: 2.263s

