-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::lift_fresh         0.00%       7.945us         0.00%       7.945us       0.497us       0.000us         0.00%       0.000us       0.000us            16  
                                          aten::detach_         0.00%       5.080us         0.00%       5.080us       0.508us       0.000us         0.00%       0.000us       0.000us            10  
                                         aten::_to_copy         0.09%     167.779us         0.65%       1.245ms      36.632us       0.000us         0.00%      94.305us       2.774us            34  
                                    aten::empty_strided         1.77%       3.401ms         1.78%       3.425ms       8.626us       0.000us         0.00%       0.000us       0.000us           397  
                                        cudaMemcpyAsync         0.28%     545.352us         0.28%     545.352us      13.301us       0.000us         0.00%       0.000us       0.000us            41  
                               cudaEventRecordWithFlags         0.02%      38.402us         0.02%      38.402us       2.743us       0.000us         0.00%       0.000us       0.000us            14  
                                            aten::slice         0.56%       1.076ms         0.70%       1.339ms       3.763us       0.000us         0.00%       0.000us       0.000us           356  
                                       aten::as_strided         0.94%       1.809ms         0.94%       1.809ms       0.920us       0.000us         0.00%       0.000us       0.000us          1966  
                                          aten::flatten         0.01%      15.138us         0.10%     195.813us      65.271us       0.000us         0.00%       0.000us       0.000us             3  
                                             aten::view         0.69%       1.321ms         0.69%       1.321ms       1.163us       0.000us         0.00%       0.000us       0.000us          1136  
                                           aten::detach         0.01%      16.811us         0.01%      16.811us       2.802us       0.000us         0.00%       0.000us       0.000us             6  
                                     aten::resolve_conj         0.00%       3.807us         0.00%       3.807us       0.635us       0.000us         0.00%       0.000us       0.000us             6  
                                      aten::resolve_neg         0.00%       1.293us         0.00%       1.293us       0.216us       0.000us         0.00%       0.000us       0.000us             6  
                                       cudaLaunchKernel         8.18%      15.744ms         8.18%      15.744ms      11.319us       0.000us         0.00%       0.000us       0.000us          1391  
                                          aten::reshape         0.14%     276.030us         0.79%       1.518ms       9.668us       0.000us         0.00%     147.846us       0.942us           157  
                                               aten::lt         0.02%      33.465us         0.02%      33.465us      11.155us       0.000us         0.00%       0.000us       0.000us             3  
                                        cudaEventRecord         0.01%      24.509us         0.01%      24.509us       3.064us       0.000us         0.00%       0.000us       0.000us             8  
                                        aten::embedding         0.01%      16.241us         0.12%     239.606us      79.869us       0.000us         0.00%      18.176us       6.059us             3  
                                          aten::resize_         0.02%      29.747us         0.02%      29.747us       9.916us       0.000us         0.00%       0.000us       0.000us             3  
                                       aten::empty_like         0.70%       1.347ms         2.41%       4.640ms      11.630us       0.000us         0.00%       0.000us       0.000us           399  
                                           aten::linear         0.85%       1.629ms        12.71%      24.480ms      56.277us       0.000us         0.00%      37.263ms      85.663us           435  
                                                aten::t         0.72%       1.379ms         1.56%       3.004ms       6.906us       0.000us         0.00%       0.000us       0.000us           435  
                                        aten::transpose         0.63%       1.210ms         0.96%       1.855ms       3.658us       0.000us         0.00%       0.000us       0.000us           507  
                                           aten::matmul         0.71%       1.374ms        10.31%      19.848ms      45.627us       0.000us         0.00%      37.263ms      85.663us           435  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.28%     533.226us         0.28%     533.226us       2.083us       0.000us         0.00%       0.000us       0.000us           256  
                                 aten::split_with_sizes         0.46%     886.548us         0.58%       1.115ms      10.327us       0.000us         0.00%       0.000us       0.000us           108  
                          vllm::unified_kv_cache_update         2.46%       4.731ms         4.72%       9.085ms      84.116us       0.000us         0.00%     393.185us       3.641us           108  
                                           aten::unbind         0.55%       1.057ms         1.31%       2.518ms      11.659us       0.000us         0.00%       0.000us       0.000us           216  
                                           aten::select         0.57%       1.090ms         0.76%       1.469ms       3.385us       0.000us         0.00%       0.000us       0.000us           434  
                    vllm::unified_attention_with_output         5.38%      10.362ms        11.83%      22.772ms     210.854us       0.000us         0.00%      29.432ms     272.514us           108  
                                           aten::expand         0.47%     910.783us         0.61%       1.181ms       3.635us       0.000us         0.00%       0.000us       0.000us           325  
                                 cudaDeviceGetAttribute         0.09%     163.954us         0.09%     163.954us       0.506us       0.000us         0.00%       0.000us       0.000us           324  
                                   cudaFuncSetAttribute         0.13%     249.316us         0.13%     249.316us       2.308us       0.000us         0.00%       0.000us       0.000us           108  
                                            aten::alias         0.00%       7.736us         0.00%       7.736us       2.579us       0.000us         0.00%       0.000us       0.000us             3  
                                       aten::index_put_         0.01%      15.389us         0.12%     233.485us      77.828us       0.000us         0.00%      26.882us       8.961us             3  
                                        cudaMemsetAsync         0.02%      32.912us         0.02%      32.912us      10.971us       0.000us         0.00%       0.000us       0.000us             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 192.567ms
Self CUDA time total: 70.570ms

